Kod portu;Data przybycia;Godzina przybycia;Kod portu, z którego jednostka przyp³ynê³a;Nazwa statku;Bandera;nr IMO;Sygna³ wywo³awczy;Pojemnoœæ brutto;D³ugoœæ;Agent;Nabrze¿e (miejsce zacumowania)
PLPLC;2011-03-19;09:00:00;PLSWI; PALICA;Poland;7704057;SQIS;999;60.00;Ship-Service S.A.;PORT MORSKI
PLPLC;2011-03-23;06:00:00;ESSCI;PEWSUM;Antigua and Barbuda;9001930;V2NJ;1960;88.23;Ger Pol Shipping & Forwarding Co. Ltd. ;Police Port Moprski
PLPLC;2011-03-23;20:55:00;LTKLJ;VOLGOBALT 244;Russian Federation;8230584;UAKW;2457;114.00;Trans Baltic Spó³ka Cywilna;Port Barkowy Police
PLPLC;2011-03-24;10:10:00;GRNEA;REDWOOD;Saint Vincent and the Grenadines;7403689;J8B3695;12582;159.16;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2011-03-25;19:05:00;MACAS;ISA;Cyprus;9180358;P3HF8;21387;199.90;POLSTEAM SHIPPING AGENCY Ltd.;Police -Port morski
PLPLC;2011-03-25;08:40:00;PLSZZ; PALICA;Poland;7704057;SQIS;999;60.00;Ship-Service S.A.;nab. Police Port Morski
PLPLC;2011-03-25;21:45:00;PLSWI; PALICA;Poland;7704057;SQIS;999;60.00;Ship-Service S.A.;nab. Police Port Morski
PLPLC;2011-03-26;10:00:00;LVVNT;OMSKIY-140;Russian Federation;8867052;UANX;2470;108.36;Wilhelmsen Ships Service Polska Sp. z o.o. ;port barkowy
PLPLC;2011-03-27;06:00:00;GBBEL;SARDINIA;Antigua and Barbuda;9191278;V2PH3;2997;99.90;SMS MARITIME SERVICES Ltd.;PM POLICE
PLPLC;2011-03-28;06:00:00;LTKLJ;VOLGOBALT 238;Russian Federation;8230522;UIDA;2457;114.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Port Barkowy
PLPLC;2011-03-31;11:15:00;LTKLJ;VOLGOBALT 243;Russian Federation;8230572;UAKV;2457;114.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Port Barkowy
PLPLC;2011-04-01;12:00:00;BEANR;AGHIA MARINA;Malta;9087805;9HXX9;17428;170.00;POL-AGENT SZCZECIN;Port Morski Police
PLPLC;2011-04-02;08:40:00;LVVNT;OMSKIY 140;Russian Federation;8867052;UANX;2470;108.40;Trans Baltic Spó³ka Cywilna;Port Barkowy
PLPLC;2011-04-04;03:00:00;LTKLJ;OMSKIY 135;Russian Federation;8881723;UIWY;2528;108.40;Wilhelmsen Ships Service Polska Sp. z o.o. ;Port  Barkowy
PLPLC;2011-04-06;20:00:00;PLSWI;WILLEKE;Netherlands;9232486;PFBN;1435;79.99;Fast Baltic - Nawigator;Police Port Morski
PLPLC;2011-04-10;10:15:00;NLAMS;TINNO;Bahamas;8908806;C6QJ3;1986;88.15;SMS MARITIME SERVICES Ltd.;PORT MORSKI
PLPLC;2011-04-12;09:40:00;SYTTS;G.INEBOLU;Turkey;7389833;TCPA;11965;154.00;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI
PLPLC;2011-04-14;14:35:00;IEDUB;HERA ;Marshall Islands;8307480;V7UA5;19340;174.70;POL-AGENT SZCZECIN;Port Morski Police
PLPLC;2011-04-15;14:55:00;EGDAM;TRANSHAWK;Gibraltar;9248552;ZDGR8;13340;142.87;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI POLICE
